month,level_1,value
1976-01,All Items Less Accommodation,na
1976-02,All Items,42.28
1976-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1976-02,All Items Less Accommodation,na
1976-03,All Items,41.74
1976-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1976-03,All Items Less Accommodation,na
1976-04,All Items,41.336
1976-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1976-04,All Items Less Accommodation,na
1976-05,All Items,41.502
1976-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1976-05,All Items Less Accommodation,na
1976-06,All Items,41.288
1976-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1976-06,All Items Less Accommodation,na
1976-07,All Items,41.259
1976-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1976-07,All Items Less Accommodation,na
1976-08,All Items,41.204
1976-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1976-08,All Items Less Accommodation,na
1976-09,All Items,41.128
1976-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1976-09,All Items Less Accommodation,na
1976-10,All Items,41.087
1976-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1976-10,All Items Less Accommodation,na
1976-11,All Items,41.33
1976-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1976-11,All Items Less Accommodation,na
1976-12,All Items,41.657
1976-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1976-12,All Items Less Accommodation,na
1977-01,All Items,42.209
1977-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-01,All Items Less Accommodation,na
1977-02,All Items,42.491
1977-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-02,All Items Less Accommodation,na
1977-03,All Items,42.205
1977-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-03,All Items Less Accommodation,na
1977-04,All Items,41.852
1977-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-04,All Items Less Accommodation,na
1977-05,All Items,42.186
1977-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-05,All Items Less Accommodation,na
1977-06,All Items,42.338
1977-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-06,All Items Less Accommodation,na
1977-07,All Items,42.768
1977-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-07,All Items Less Accommodation,na
1977-08,All Items,43.41
1977-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-08,All Items Less Accommodation,na
1977-09,All Items,43.692
1977-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-09,All Items Less Accommodation,na
1977-10,All Items,43.073
1977-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-10,All Items Less Accommodation,na
1977-11,All Items,43.434
1977-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-11,All Items Less Accommodation,na
1977-12,All Items,44.318
1977-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1977-12,All Items Less Accommodation,na
1978-01,All Items,44.054
1978-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1978-01,All Items Less Accommodation,na
1978-02,All Items,44.354
1978-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1978-02,All Items Less Accommodation,na
1978-03,All Items,43.764
1978-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1978-03,All Items Less Accommodation,na
1978-04,All Items,44.025
1978-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1978-04,All Items Less Accommodation,na
1978-05,All Items,44.176
1978-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1978-05,All Items Less Accommodation,na
1978-06,All Items,44.279
1978-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1978-06,All Items Less Accommodation,na
1978-07,All Items,44.81
1978-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1978-07,All Items Less Accommodation,na
1978-08,All Items,45.02
1978-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1978-08,All Items Less Accommodation,na
1978-09,All Items,45.095
1978-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1978-09,All Items Less Accommodation,na
1978-10,All Items,44.932
1978-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1978-10,All Items Less Accommodation,na
1978-11,All Items,45.198
1978-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
